Entry,Gene names (primary),Gene names (synonym),EntryName
P41180,CASR,GPRC2A;PCAR1,CASR_HUMAN
P34998,CRHR1,CRFR;CRFR1;CRHR,CRFR1_HUMAN
Q9UBS5,GABBR1,GPRC3A,GABR1_HUMAN
P28566,HTR1E,,5HT1E_HUMAN
P50052,AGTR2,,AGTR2_HUMAN
Q99788,CMKLR1,CHEMR23;DEZ,CML1_HUMAN
Q99705,MCHR1,GPR24;SLC1,MCHR1_HUMAN
Q96LB1,MRGPRX2,MRGX2,MRGX2_HUMAN
Q9Y5Y4,PTGDR2,CRTH2;DL1R;GPR44,PD2R2_HUMAN
Q9NYV7,TAS2R16,,T2R16_HUMAN
P08908,HTR1A,ADRB2RL1;ADRBRL1,5HT1A_HUMAN
P28222,HTR1B,HTR1DB,5HT1B_HUMAN
P28223,HTR2A,HTR2,5HT2A_HUMAN
P41595,HTR2B,,5HT2B_HUMAN
P28335,HTR2C,HTR1C,5HT2C_HUMAN
Q13639,HTR4,,5HT4R_HUMAN
Q16570,ACKR1,DARC;FY;GPD,ACKR1_HUMAN
O00590,ACKR2,CCBP2;CCR10;CMKBR9;D6,ACKR2_HUMAN
Q01718,MC2R,ACTHR,ACTHR_HUMAN
P35348,ADRA1A,ADRA1C,ADA1A_HUMAN
P08913,ADRA2A,ADRA2R;ADRAR,ADA2A_HUMAN
P30556,AGTR1,AGTR1A;AGTR1B;AT2R1;AT2R1B,AGTR1_HUMAN
P21730,C5AR1,C5AR;C5R1,C5AR1_HUMAN
P30988,CALCR,,CALCR_HUMAN
P41597,CCR2,CMKBR2,CCR2_HUMAN
P51681,CCR5,CMKBR5,CCR5_HUMAN
P34972,CNR2,CB2A;CB2B,CNR2_HUMAN
P49238,CX3CR1,CMKBRL1;GPR13,CX3C1_HUMAN
P25024,CXCR1,CMKAR1;IL8RA,CXCR1_HUMAN
P21917,DRD4,,DRD4_HUMAN
P35462,DRD3,,DRD3_HUMAN
P14416,DRD2,,DRD2_HUMAN
P25101,EDNRA,ETA;ETRA,EDNRA_HUMAN
O15552,FFAR2,FFA2;GPCR43;GPR43,FFAR2_HUMAN
P23945,FSHR,LGR1,FSHR_HUMAN
P32239,CCKBR,CCKRB,GASR_HUMAN
P43220,GLP1R,,GLP1R_HUMAN
P47871,GCGR,,GLR_HUMAN
P30968,GNRHR,GRHR,GNRHR_HUMAN
Q86SQ4,ADGRG6,DREG;GPR126;VIGR,AGRG6_HUMAN
P51810,GPR143,OA1,GP143_HUMAN
O15354,GPR37,,GPR37_HUMAN
P35367,HRH1,,HRH1_HUMAN
Q969F8,KISS1R,AXOR12;GPR54,KISSR_HUMAN
P32245,MC4R,,MC4R_HUMAN
Q01726,MC1R,MSHR,MSHR_HUMAN
P25103,TACR1,NK1R;TAC1R,NK1R_HUMAN
P41145,OPRK1,OPRK,OPRK_HUMAN
P43115,PTGER3,,PE2R3_HUMAN
Q03431,PTH1R,PTHR;PTHR1,PTH1R_HUMAN
P30874,SSTR2,,SSR2_HUMAN
P21731,TBXA2R,,TA2R_HUMAN
P30518,AVPR2,ADHR;DIR;DIR3;V2R,V2R_HUMAN
P32241,VIPR1,,VIPR1_HUMAN
P25106,ACKR3,CMKOR1;CXCR7;GPR159;RDC1,ACKR3_HUMAN
P07550,ADRB2,ADRB2R;B2AR,ADRB2_HUMAN
P48960,CD97,,CD97_HUMAN
P49682,CXCR3,GPR9,CXCR3_HUMAN
P61073,CXCR4,,CXCR4_HUMAN
P24530,EDNRB,ETRB,EDNRB_HUMAN
Q9ULV1,FZD4,,FZD4_HUMAN
O75899,GABBR2,GPR51;GPRC3B,GABR2_HUMAN
Q96PE1,ADGRA2,GPR124;KIAA1531;TEM5,AGRA2_HUMAN
Q9Y653,ADGRG1,GPR56;TM7LN4;TM7XN1,AGRG1_HUMAN
Q8WXG9,GPR98,KIAA0686;KIAA1943;MASS1;VLGR1,GPR98_HUMAN
O75473,LGR5,GPR49;GPR67,LGR5_HUMAN
P22888,LHCGR,LCGR;LGR2;LHRHR,LSHR_HUMAN
P35372,OPRM1,MOR1,OPRM_HUMAN
P08100,RHO,OPN2,OPSD_HUMAN
P55085,F2RL1,GPR11;PAR2,PAR2_HUMAN
Q8NFJ6,PROKR2,GPR73L1;PKR2,PKR2_HUMAN
P21453,S1PR1,CHEDG1;EDG1,S1PR1_HUMAN
P16473,TSHR,LGR3,TSHR_HUMAN
Q99527,GPER1,CEPR;CMKRL2;DRY12;GPER;GPR30,GPER1_HUMAN
Q9BXB1,LGR4,GPR48,LGR4_HUMAN
Q9NYW0,TAS2R10,,T2R10_HUMAN
Q9NYV9,TAS2R13,,T2R13_HUMAN
Q9NYV8,TAS2R14,,T2R14_HUMAN
P59538,TAS2R31,TAS2R44,T2R31_HUMAN
P59543,TAS2R20,TAS2R49,T2R20_HUMAN
P59544,TAS2R50,,T2R50_HUMAN
Q9NYW3,TAS2R7,,TA2R7_HUMAN
Q9NYW2,TAS2R8,,TA2R8_HUMAN
Q9NYW1,TAS2R9,,TA2R9_HUMAN
Q99678,GPR20,,GPR20_HUMAN
P35410,MAS1L,MRG,MAS1L_HUMAN
P48146,NPBWR2,GPR8,NPBW2_HUMAN
Q9NSD7,RXFP3,RLN3R1;SALPR,RL3R1_HUMAN
P59542,TAS2R19,TAS2R23;TAS2R48,T2R19_HUMAN
P59541,TAS2R30,TAS2R47,T2R30_HUMAN
P59537,TAS2R43,,T2R43_HUMAN
P59540,TAS2R46,,T2R46_HUMAN
Q9P296,C5AR2,C5L2;GPR77,C5AR2_HUMAN
P59533,TAS2R38,PTC,T2R38_HUMAN
P59535,TAS2R40,GPR60,T2R40_HUMAN
P59536,TAS2R41,,T2R41_HUMAN
P59551,TAS2R60,,T2R60_HUMAN
Q9NYW7,TAS2R1,,TA2R1_HUMAN
Q9NYW6,TAS2R3,,TA2R3_HUMAN
Q9NYW4,TAS2R5,,TA2R5_HUMAN
P28221,HTR1D,HTR1DA;HTRL,5HT1D_HUMAN
P30939,HTR1F,HTR1EL,5HT1F_HUMAN
P50406,HTR6,,5HT6R_HUMAN
P34969,HTR7,,5HT7R_HUMAN
P30542,ADORA1,,AA1R_HUMAN
P29274,ADORA2A,ADORA2,AA2AR_HUMAN
Q9NPB9,ACKR4,CCBP2;CCR11;CCRL1;VSHK1,ACKR4_HUMAN
P08172,CHRM2,,ACM2_HUMAN
P20309,CHRM3,,ACM3_HUMAN
P25100,ADRA1D,ADRA1A,ADA1D_HUMAN
P18089,ADRA2B,ADRA2L1;ADRA2RL1,ADA2B_HUMAN
P18825,ADRA2C,ADRA2L2;ADRA2RL2,ADA2C_HUMAN
P13945,ADRB3,ADRB3R;B3AR,ADRB3_HUMAN
O14514,BAI1,,BAI1_HUMAN
P46663,BDKRB1,BRADYB1,BKRB1_HUMAN
Q16581,C3AR1,AZ3B;C3R1;HNFAG09,C3AR_HUMAN
P32238,CCKAR,CCKRA,CCKAR_HUMAN
P46092,CCR10,GPR2,CCR10_HUMAN
P32246,CCR1,CMKBR1;CMKR1;SCYAR1,CCR1_HUMAN
P51677,CCR3,CMKBR3,CCR3_HUMAN
P51679,CCR4,CMKBR4,CCR4_HUMAN
P51684,CCR6,CKRL3;CMKBR6;GPR29;STRL22,CCR6_HUMAN
P51685,CCR8,CKRL1;CMKBR8;CMKBRL2,CCR8_HUMAN
O00421,CCRL2,CCR11;CCR6;CKRX;CRAM;HCR,CCRL2_HUMAN
Q9Y271,CYSLTR1,CYSLT1,CLTR1_HUMAN
Q9NS75,CYSLTR2,CYSLT2;CYSLT2R,CLTR2_HUMAN
P21554,CNR1,CNR,CNR1_HUMAN
P25025,CXCR2,IL8RB,CXCR2_HUMAN
O00574,CXCR6,BONZO;STRL33;TYMSTR,CXCR6_HUMAN
P21728,DRD1,,DRD1_HUMAN
